ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
11,Traffic Violations Control Using Deep Learning,"D. Srivastava, Ratnesh Litoriya",2026,10.1109/idciot67589.2026.11455678,"Static surveillance cameras in urban intersections observe thousands of traffic violations every day, but manual auditing of this data is slow, subjective, and prone to human error.",Deep Learning,,Videovigilancia / CCTV,"4,567 annotated, 276 hours",accuracy of 0.927,"The model was trained on 1,276 hours of roadside footage from 32 signalized intersections and tested on 4,567 annotated violation events: redlight running, illegal U-turns and wrong-lane maneuvers. During testing, the system correctly detected 4,233 out of 4,567 confirmed violations, with an event-level accuracy of 0.927 and false alarm rate of 0.041 per camera hour.","Under the same conditions, this approach resulted in the recovery of 1,372 more valid violations compared to a baseline in which rules were applied.",CCTV / Cámaras,The results confirm that deep learning-based monitoring has a major impact on the scalability and reliability of traffic violations enforcement in dense urban environments.,"@inproceedings{srivastava2026traffic, author={D. Srivastava and Ratnesh Litoriya}, title={Traffic Violations Control Using Deep Learning}, booktitle={2026 4th International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT)}, year={2026}, doi={10.1109/idciot67589.2026.11455678}}",92.7,Conferencia (Conference),2026 4th International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),Deep Learning (DL),Video / Frames,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Cámaras (CCTV),Cámaras / CCTV,Otros
12,"AI-Powered Traffic Violation Detection System Using CCTV, and Deep Learning","K.S.V. Sai Sri Phanindra Pavan, N. S. Rao, A. Sarayu, G. Abhiram, D. Maneesha",2026,10.55041/ijsrem58855,"Abstract—Urban road safety continues to deteriorate alongside growing traffic density, with traffic violations remaining a leading causal factor in accident-related deaths. Traditional enforcement approaches relying on manual surveillance and passive CCTV recording are systematically inadequate given the scale, speed, and complexity of contemporary traffic environments.","YOLOv8, Deep Learning",,Videovigilancia / CCTV,,"accuracy of 88.4, 28 FPS, 180 ms",,,"NVIDIA Jetson / GPU, PaddleOCR / EasyOCR, CCTV / Cámaras","Index Terms—Traffic Violation Detection, YOLOv8, Deep Learning, Computer Vision, DeepSORT, Multi-Object Tracking, ALPR, EasyOCR, CCTV Surveillance, Image capturing, Real-Time Video Processing.","@article{pavan2026aipowered, author={K.S.V. Sai Sri Phanindra Pavan and N. S. Rao and A. Sarayu and G. Abhiram and D. Maneesha}, title={AI-Powered Traffic Violation Detection System Using CCTV, and Deep Learning}, journal={INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT}, year={2026}, doi={10.55041/ijsrem58855}}",88.4,Revista Científica (Journal),INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Cámaras (CCTV),Edge Computing,No especificado
13,Advancing Road Safety: A Comprehensive Evaluation of Object Detection Models for Commercial Driver Monitoring Systems,"Huma Zia, Imtiaz ul Hassan, M. Khurram, N. Harris, Fatima Shah, Nimra Imran",2025,10.3390/futuretransp5010002,"This paper addresses the critical issue of road safety in the indispensable role of transportation for societal well-being and economic growth. Despite global initiatives like Vision Zero, traffic accidents persist, largely influenced by driver behavior.","YOLOv5, Faster R-CNN, RetinaNet, CNN (Redes Convolucionales)",,,4966 images,,"By elucidating the strengths and limitations of different object detection models, this research contributes to advancing road safety through affordable, efficient, and reliable technology solutions.",,,"This study presents a lightweight, deep-learning-based advanced driver monitoring system for real-time driver behavior monitoring, highlighting the effectiveness of YOLOv5 for cost-effectiveness and accessibility in real-world settings.","@article{zia2025advancing, author={Huma Zia and Imtiaz ul Hassan and M. Khurram and N. Harris and Fatima Shah and Nimra Imran}, title={Advancing Road Safety: A Comprehensive Evaluation of Object Detection Models for Commercial Driver Monitoring Systems}, journal={Future Transportation}, year={2025}, doi={10.3390/futuretransp5010002}}",,Revista Científica (Journal),Future Transportation,Deep Learning (DL),Imágenes,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
14,Evaluating Defensive Driving Behaviour Based on Safe Distance Between Vehicles: A Case Study Using Computer Vision on UAV Videos at Urban Roundabout,"Yagnik M. Bhavsar, Mazad S. Zaveri, Mehul S. Raval, Shaheriar B. Zaveri",2025,10.1016/j.multra.2025.100227,,,,UAV / Drones,,,,,,"This study found that 48% of vehicles in urban roundabouts did not follow defensive driving practices, and using distance and acceleration as surrogate safety measures, could help traffic law enforcement agencies and policy-makers improve road traffic safety in developing countries.","@article{bhavsar2025evaluating, author={Yagnik M. Bhavsar and Mazad S. Zaveri and Mehul S. Raval and Shaheriar B. Zaveri}, title={Evaluating Defensive Driving Behaviour Based on Safe Distance Between Vehicles: A Case Study Using Computer Vision on UAV Videos at Urban Roundabout}, journal={Multimodal Transportation}, year={2025}, doi={10.1016/j.multra.2025.100227}}",,Revista Científica (Journal),Multimodal Transportation,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,Drones / UAV,No especificado,No especificado
15,Unsupervised Learning Approach for Risky Driving Behavior Identification on Expressways in C-ITS Environments,"Dongmin Kim, Hwanpil Lee, Jooyoung Lee",2025,10.1109/tits.2025.3538929,"Understanding the intricate relationship between driving behaviors, traffic crashes, and human factors is paramount in enhancing road safety. Human error, often stemming from risky driving behaviors, contributes significantly to traffic crashes.","CNN (Redes Convolucionales), Autoencoder",,,,,,,,"This study introduces an unsupervised learning algorithm for detecting risky driving behaviors on expressways in C-ITS environments, highlighting the importance of tailored traffic safety interventions in enhancing C-ITS environments.","@article{kim2025unsupervised, author={Dongmin Kim and Hwanpil Lee and Jooyoung Lee}, title={Unsupervised Learning Approach for Risky Driving Behavior Identification on Expressways in C-ITS Environments}, journal={IEEE Transactions on Intelligent Transportation Systems}, year={2025}, doi={10.1109/tits.2025.3538929}}",,Revista Científica (Journal),IEEE Transactions on Intelligent Transportation Systems,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,No especificado
16,Visual Risk-Aware Decision-Making Method for Autonomous Driving,"Siman Wu, Chen Shao, Jianshan Zhou, Xuting Duan, Kaige Qu, Chunmian Lin",2025,10.1109/icus66297.2025.11294445,"As autonomous driving technology advances, the ability to accurately perceive risks and execute efficient behavioral strategies in real-world traffic scenarios has become critical for performance evaluation. Decision-making algorithms are central to ensuring safety and effectiveness.",Reinforcement Learning,,Simulador de conducción / Entorno virtual,,,"Second, to overcome traditional risk assessment limitations in capturing traffic complexity, a driving risk field model is introduced, considering lane lines, static and dynamic obstacles, and employing a ""pseudo-distance"" metric to better represent real-world complexity.",,,"This paper proposes a visual risk perception-based autonomous driving decision model, integrating visual risk quantification with deep reinforcement learning, to make safer, more rational decisions in complex traffic environments.","@inproceedings{wu2025visual, author={Siman Wu and Chen Shao and Jianshan Zhou and Xuting Duan and Kaige Qu and Chunmian Lin}, title={Visual Risk-Aware Decision-Making Method for Autonomous Driving}, booktitle={2025 IEEE International Conference on Unmanned Systems (ICUS)}, year={2025}, doi={10.1109/icus66297.2025.11294445}}",,Conferencia (Conference),2025 IEEE International Conference on Unmanned Systems (ICUS),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Otros,No especificado,Otros
17,Computer Vision-Based Traffic Monitoring: Design of a Red-Light Violation Detection System for Urban Intersections,"Lei Yang, Jiangqian Si, Pengju He, Lang Zhao",2025,10.1109/isctis65944.2025.11065596,"With the accelerating urbanization process, road intersections, as critical nodes in transportation networks, face increasing traffic pressure due to pedestrian and vehicle violations, making order management particularly crucial. The implemented system enhances traffic safety at urban intersections while optimizing traffic flow management efficiency.","YOLOv5, Deep Learning",,,,95% accuracy,,,OpenCV,The implemented system enhances traffic safety at urban intersections while optimizing traffic flow management efficiency.,"@inproceedings{yang2025computer, author={Lei Yang and Jiangqian Si and Pengju He and Lang Zhao}, title={Computer Vision-Based Traffic Monitoring: Design of a Red-Light Violation Detection System for Urban Intersections}, booktitle={2025 5th International Symposium on Computer Technology and Information Science (ISCTIS)}, year={2025}, doi={10.1109/isctis65944.2025.11065596}}",95.0,Conferencia (Conference),2025 5th International Symposium on Computer Technology and Information Science (ISCTIS),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,Otros,No especificado
18,Real-Time Driver Drowsiness Detection Using Facial Analysis and Machine Learning Techniques,"Siham Essahraui, Ismail Lamaakal, Ikhlas El Hamly, Yassine Maleh, Ibrahim Ouahbi, Khalid El Makkaoui, Mouncef Filali Bouami, Paweł Pławiak, Osama Alfarraj, A. A. Abd El-Latif",2025,10.3390/s25030812,"Drowsy driving poses a significant challenge to road safety worldwide, contributing to thousands of accidents and fatalities annually. Despite advancements in driver drowsiness detection (DDD) systems, many existing methods face limitations such as intrusiveness and delayed reaction times.","YOLOv8, YOLOv5, Faster R-CNN, CNN (Redes Convolucionales), SVM, Deep Learning, Machine Learning",,,,"100% precision, accuracy of 98.89, accuracy of 81.0, F1 score of 98.86","Despite advancements in driver drowsiness detection (DDD) systems, many existing methods face limitations such as intrusiveness and delayed reaction times.",,,"This research developed a real-time, non-intrusive driver drowsiness detection system using facial analysis and machine learning techniques, achieving high accuracy and enhancing road safety.","@article{essahraui2025realtime, author={Siham Essahraui and Ismail Lamaakal and Ikhlas El Hamly and Yassine Maleh and Ibrahim Ouahbi and Khalid El Makkaoui and Mouncef Filali Bouami and Paweł Pławiak and Osama Alfarraj and A. A. Abd El-Latif}, title={Real-Time Driver Drowsiness Detection Using Facial Analysis and Machine Learning Techniques}, journal={Sensors (Basel, Switzerland)}, year={2025}, doi={10.3390/s25030812}}",98.89,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,No especificado,No especificado,Otros
19,Dangerous Driving Behavior Detection Based on Computer Vision,Hui Lin,2025,10.1109/iceace67491.2025.11439288,"With the growing number of cars, the frequency of traffic accidents is becoming higher and higher, which greatly threaten the people's life safety. But as a result of over reliance on the autonomous driving technology, more and more traffic accidents caused by untimely takeover have appeared.","CNN (Redes Convolucionales), Transformer, Vision Transformer (ViT), ResNet",,,,,"This study trained three different models including classical CNN model and Vision Transformer, and compare the performance of them to find the best one to detect dangerous driving behavior.",,,"Finally, the best performance is achieved by ResNet-152 model, whose accuracy reached 99.80%.","@inproceedings{lin2025dangerous, author={Hui Lin}, title={Dangerous Driving Behavior Detection Based on Computer Vision}, booktitle={2025 IEEE 3rd International Conference on Electrical, Automation and Computer Engineering (ICEACE)}, year={2025}, doi={10.1109/iceace67491.2025.11439288}}",,Conferencia (Conference),"2025 IEEE 3rd International Conference on Electrical, Automation and Computer Engineering (ICEACE)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
20,Utilization of YoloV8 Algorithm for in-Vehicle Video-Based Driver Monitoring System,"Muhammad Rajendra Aria Satya, Odi Nurdiawan, Fadhil M. Basysyar, Rahmat Hidayat",2025,10.59934/jaiea.v4i3.998,"Driving safety is a critical factor in reducing the risk of traffic accidents, which are often caused by unsafe driver behavior such as drowsiness, phone usage, or neglecting to wear seat belts.",YOLOv8,,,"9,440 images, 440 images","89.6% precision, 87.2% recall, 88.0% F1-score","The YOLOv8 model was trained for 100 epochs with a data split of 70% training, 20% validation, and 10% testing.",,,"The YOLOv8 algorithm effectively detects standard driver behaviors, but requires further optimization for varying lighting and camera angles for wider real-world deployment.","@article{satya2025utilization, author={Muhammad Rajendra Aria Satya and Odi Nurdiawan and Fadhil M. Basysyar and Rahmat Hidayat}, title={Utilization of YoloV8 Algorithm for in-Vehicle Video-Based Driver Monitoring System}, journal={Journal of Artificial Intelligence and Engineering Applications (JAIEA)}, year={2025}, doi={10.59934/jaiea.v4i3.998}}",,Revista Científica (Journal),Journal of Artificial Intelligence and Engineering Applications (JAIEA),Deep Learning (DL),Imágenes,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
21,Enhancing Driving Safety Evaluation Through Correlation Analysis of Driver Behavior,"Majun Fei, Weiqi Zhou, Hai Zhao, Chaofeng Pan, Dehua Shi, Xinke An",2025,10.3390/su17094067,"This paper presents a method for evaluating driving behavior safety based on real-world urban driving data collected from on-road experiments. Principal component analysis (PCA) was used to determine the weight of each indicator, resulting in a comprehensive safety evaluation method based on the correlation of driving behaviors.",,,Conducción naturalista / Vehículo real en vía pública,,,,,,"This study developed a comprehensive evaluation method based on correlation analysis of driving behaviors, revealing that unsafe behaviors often occur in combination, influencing driving safety in urban electric vehicle applications.","@article{fei2025enhancing, author={Majun Fei and Weiqi Zhou and Hai Zhao and Chaofeng Pan and Dehua Shi and Xinke An}, title={Enhancing Driving Safety Evaluation Through Correlation Analysis of Driver Behavior}, journal={Sustainability}, year={2025}, doi={10.3390/su17094067}}",,Revista Científica (Journal),Sustainability,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,Vía pública / Real,No especificado,No especificado
22,Traffic Incident Detection Algorithm based on Deep Learning: A Statistical Optimization Approach,Z. Jing,2025,10.1109/icears64219.2025.10940611,The continuous evolution of smart transportation has led to the vigorous development of research in the field of intelligent vehicle anomaly detection.,"YOLOv5, Deep Learning",,,,,This model first uses the pre-trained YOLOv5m_c model to detect vehicles and outputs images with vehicle frames from the video stream. Quantitative experimental results show that the proposed algorithm can effectively improve the detection accuracy of traffic incidents and reduce the false alarm rate in real-time traffic data.,,,"The proposed traffic incident detection algorithm, combining deep learning and statistical optimization methods, effectively improves detection accuracy and reduces false alarm rates in real-time traffic data.","@inproceedings{jing2025traffic, author={Z. Jing}, title={Traffic Incident Detection Algorithm based on Deep Learning: A Statistical Optimization Approach}, booktitle={2025 International Conference on Electronics and Renewable Systems (ICEARS)}, year={2025}, doi={10.1109/icears64219.2025.10940611}}",,Conferencia (Conference),2025 International Conference on Electronics and Renewable Systems (ICEARS),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
